5,0,0,1,0,0,3,3,3,3,3,1,0,0,5,,,,,,,0,CQB
0,0,0,1,3,3,3,3,3,3,3,1,0,0,0,,,,,,,1,Frack
0,0,0,1,3,3,3,3,3,3,3,1,0,0,0,,,,,,,2,Wall
1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,,,,,,,3,Nature
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,4,amoReChage
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,5,weaponMap
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,,,,,,,,
0,0,0,1,3,3,3,3,3,3,3,1,0,0,0,,,,,,,,
0,0,0,1,3,3,3,3,3,3,3,1,0,0,0,,,,,,,,
5,0,0,1,3,3,3,3,3,3,3,1,0,0,5,,,,,,,,
